patent_id,section_code,subclass
10600528,C,C22B
10600542,H,H01F
10600542,H,H02K
10600571,H,H01G
10600572,H,H01G
10600572,C,C01G
10600572,C,C04B
10600572,C,C01P
10600581,H,H01G
10600581,C,C01B
10600581,Y,Y02E
10600581,Y,Y02P
10600581,Y,Y10T
10553477,H,H01L
10553477,C,C23C
10553477,B,B82Y
10553499,H,H10D
10553499,H,H01L
10553499,H,H10B
10600645,H,H01L
10600645,C,C30B
10600645,B,B08B
10600652,H,H01L
10553523,H,H01L
10600685,H,H01L
10553531,H,H01L
10553531,H,H01P
10553531,H,H05K
10553531,H,H10D
10600713,H,H01L
10553555,H,H01L
10553567,H,H01L
10553567,H,H10D
10553576,H,H10D
10553585,H,H10D
10553585,H,H01L
10553585,H,H03K
10600764,H,H01L
10600764,H,H02M
10600784,H,H10D
10600784,H,H03K
10553629,H,H10F
10553629,G,G01J
10553636,H,H10F
10553636,G,G01R
10553636,H,H03M
10553636,H,H04N
10600826,H,H10F
10600826,H,H04N
10553665,H,H10K
10600857,H,H10K
10600867,H,H10D
10553686,H,H10D
10553686,C,C23C
10553686,H,H01L
10553686,H,H10B
10600873,H,H10D
10600873,H,H01L
10600884,H,H10D
10600884,H,H01L
10600887,H,H10D
10600887,H,H01L
10553701,H,H10D
10553701,H,H01L
10553703,H,H10D
10553703,H,H01L
10553703,H,H10B
10553711,H,H10D
10553711,B,B82Y
10553711,H,H10K
10600901,H,H10D
10600901,H,H01L
10600901,H,H03F
10600901,H,H02M
10553719,H,H10D
10553719,H,H01L
10553722,H,H10D
10553722,H,H01L
10553724,H,H10D
10553724,H,H01L
10600919,H,H10D
10600919,H,H01L
10600922,H,H10F
10600922,Y,Y02E
10553754,H,H10H
10553754,H,H05B
10553762,H,H10H
10553782,H,H10N
10553782,H,H01F
10553782,H,H01P
10553782,H,H04B
10600974,C,C09K
10600974,C,C07F
10600974,H,H10K
10553790,H,H10N
10553790,G,G11C
10553790,H,H10B
10600994,H,H10K
10600994,H,H10D
10600994,Y,Y02E
10553809,H,H10K
10553825,C,C09D
10553825,H,H10K
10601016,H,H01M
10601016,B,B23K
10601016,B,B60K
10601016,B,B60L
10601016,B,B62D
10601016,B,B60Y
10601016,F,F16M
10601016,Y,Y02E
10601016,Y,Y02T
10553843,H,H01M
10553843,B,B25F
10553843,Y,Y02E
10553844,B,B60L
10553844,H,H01M
10553844,Y,Y02E
10553844,Y,Y02T
10601028,H,H01M
10601028,B,B23K
10601028,Y,Y02E
10601028,Y,Y02P
10601030,C,C08F
10601030,B,B32B
10601030,C,C08G
10601030,C,C08L
10601030,H,H01M
10601030,Y,Y02E
10553870,H,H01M
10553870,C,C01G
10553870,H,H01B
10601047,H,H01M
10553870,C,C01P
10601047,C,C01B
10553870,Y,Y02E
10601047,Y,Y02E
10601060,H,H01M
10601060,Y,Y02E
10601060,Y,Y02T
10601087,H,H01M
10601105,H,H01Q
10601105,H,H04B
10601105,H,H01L
10553945,H,H01Q
10601129,H,H01Q
10601129,H,H04B
10601139,H,H01Q
10553969,H,H01R
10601154,B,B60R
10601154,H,H01R
10601154,H,H02G
10601168,H,H01R
10601168,H,H02G
10601195,H,H01R
10601195,H,H05K
10554050,H,H02S
10554050,H,H02J
10554050,Y,Y02E
10601250,H,H02J
10601253,H,H02J
10601254,H,H02J
10601254,G,G06K
10601254,H,H01L
10601259,G,G01R
10601259,H,H02J
10601259,H,H03F
10554083,H,H02K
10554088,H,H02K
10554116,H,H02M
10554116,F,F25B
10554116,H,H02J
10601302,H,H02M
10601302,H,H03K
10554116,Y,Y02E
10601302,Y,Y02B
10554126,H,H02M
10554126,H,H03K
10554126,Y,Y02B
10554131,H,H02M
10554131,G,G03G
10601319,H,H02M
10554139,H,H02M
10554139,Y,Y02B
10601323,H,H02M
10601323,H,H03K
10601323,Y,Y02B
10601325,H,H02M
10601325,H,H05K
10601335,H,H02M
10601335,H,H05K
10601341,H,H02M
10601341,H,H01L
10601341,H,H05K
10601353,H,H02P
10601353,B,B23K
10601353,G,G05F
10554196,H,H03H
10601403,H,H03F
10601403,H,H03H
10601422,H,H03K
10601422,H,H10D
10554243,H,H04B
10554243,H,H04Q
10554243,H,H01Q
10554243,H,H04W
10601435,H,H03K
10601435,H,H03M
10601435,Y,Y02B
10554259,H,H04B
10554259,G,G01R
10554259,H,H02J
10554259,H,H04L
10554259,H,H01P
10554259,Y,Y02E
10554259,Y,Y04S
10601474,H,H04B
10554291,H,H04B
10601474,H,H04L
10554291,H,H03J
10554291,H,H04L
10601474,H,H04Q
10601474,H,H04W
10554299,H,H04B
10554299,G,G01M
10601482,H,H04B
10601482,H,H04W
10601483,H,H04B
10601483,H,H04L
10601483,H,H04W
10554316,H,H04B
10554316,G,G01R
10601499,H,H04B
10601499,H,H04W
10601508,H,H04B
10601508,H,H04J
10601512,H,H04B
10554356,H,H04L
10554356,H,H04W
10601534,H,H04J
10601534,H,H04B
10601534,H,H04W
10554369,H,H04L
10554369,H,H04W
10554369,Y,Y02D
10554373,H,H04L
10554373,H,H04W
10554376,H,H04L
10554376,H,H04W
10601567,H,H04L
10601567,H,H04W
10601567,Y,Y02D
10554399,H,H04L
10554399,G,G06F
10601591,H,H04L
10601591,H,H04W
10554412,H,H04L
10554412,G,G06Q
10554412,G,G08G
10554412,H,H04B
10601600,H,H04L
10601600,G,G06F
10601600,H,H04W
10554415,H,H04L
10554415,G,G10L
10554415,H,H04H
10554415,H,H04N
10601637,H,H04L
10601637,G,G06F
10601642,H,H04L
10601642,G,G06F
10554458,H,H04L
10554458,H,H03C
10554458,H,H03K
10554458,H,H03L
10554458,H,H04B
10554458,H,H03H
10601660,H,H04L
10601660,G,G06F
10601661,H,H04L
10554486,H,H04L
10554486,G,G06F
10601706,H,H04L
10554507,G,G06F
10554507,H,H04L
10554507,G,G06Q
10601715,H,H04B
10601715,H,H04L
10601715,H,H04N
10601715,H,H04W
10601715,Y,Y02D
10601718,H,H04L
10601718,H,H04N
10601718,H,H04Q
10601718,H,H04W
10601718,G,G06Q
10601724,H,H04L
10601724,H,H04W
10601725,H,H04L
10601726,H,H04L
10601726,G,G06F
10554537,H,H04L
10601732,H,H04L
10554564,H,H04L
10601779,H,H04L
10601783,H,H04L
10601783,G,G06F
10601796,H,H04L
10601796,H,H04W
10601796,G,G06Q
10554601,H,H04L
10554601,G,G06Q
10554617,H,H04L
10554617,G,G06F
10601828,H,H04L
10601828,G,G06F
10554634,H,H04L
10554634,G,G06F
10601828,H,H04W
10554640,H,H04L
10554640,H,H04W
10601845,H,H04L
10554653,H,H04L
10554671,H,H04L
10554671,G,G06F
10554674,H,H04L
10554674,G,G06F
10554674,G,G06N
10554682,H,H04L
